date,crop,market,state,city,price_per_kg,quantity_traded,quality_grade
2022-01-01,Tomato,Azadpur Mandi,Delhi,Delhi,25.52,5881,B
2022-01-01,Tomato,Vashi Market,Maharashtra,Mumbai,27.50,10209,C
2022-01-01,Tomato,Yeshwanthpur,Karnataka,Bangalore,27.59,4994,B
2022-01-01,Tomato,Ludhiana Mandi,Punjab,Ludhiana,26.07,5262,A
2022-01-01,Tomato,Lucknow Mandi,Uttar Pradesh,Lucknow,23.75,5461,C
2022-01-01,Onion,Azadpur Mandi,Delhi,Delhi,32.79,7050,B
2022-01-01,Onion,Vashi Market,Maharashtra,Mumbai,33.14,6133,C
2022-01-01,Onion,Yeshwanthpur,Karnataka,Bangalore,32.59,10892,B
2022-01-01,Onion,Ludhiana Mandi,Punjab,Ludhiana,32.19,4171,B
2022-01-01,Onion,Lucknow Mandi,Uttar Pradesh,Lucknow,34.11,5589,B
2022-01-01,Potato,Azadpur Mandi,Delhi,Delhi,16.20,8243,C
2022-01-01,Potato,Vashi Market,Maharashtra,Mumbai,16.34,11218,A
2022-01-01,Potato,Yeshwanthpur,Karnataka,Bangalore,15.09,3440,C
2022-01-01,Potato,Ludhiana Mandi,Punjab,Ludhiana,18.60,2458,B
2022-01-01,Potato,Lucknow Mandi,Uttar Pradesh,Lucknow,15.54,8909,C
2022-01-01,Wheat,Azadpur Mandi,Delhi,Delhi,19.30,8629,A
2022-01-01,Wheat,Vashi Market,Maharashtra,Mumbai,20.56,11938,C
2022-01-01,Wheat,Yeshwanthpur,Karnataka,Bangalore,20.92,9824,B
2022-01-01,Wheat,Ludhiana Mandi,Punjab,Ludhiana,23.91,3622,A
2022-01-01,Wheat,Lucknow Mandi,Uttar Pradesh,Lucknow,22.50,4252,A
2022-01-01,Rice,Azadpur Mandi,Delhi,Delhi,26.50,4718,B
2022-01-01,Rice,Vashi Market,Maharashtra,Mumbai,25.97,9044,C
2022-01-01,Rice,Yeshwanthpur,Karnataka,Bangalore,28.00,11710,A
2022-01-01,Rice,Ludhiana Mandi,Punjab,Ludhiana,30.56,3273,A
2022-01-01,Rice,Lucknow Mandi,Uttar Pradesh,Lucknow,29.99,7067,A
2022-01-01,Cotton,Azadpur Mandi,Delhi,Delhi,56.38,9188,C
2022-01-01,Cotton,Vashi Market,Maharashtra,Mumbai,52.18,3039,A
2022-01-01,Cotton,Yeshwanthpur,Karnataka,Bangalore,56.39,2059,C
2022-01-01,Cotton,Ludhiana Mandi,Punjab,Ludhiana,53.86,2788,B
2022-01-01,Cotton,Lucknow Mandi,Uttar Pradesh,Lucknow,58.07,5474,A
2022-01-01,Soybean,Azadpur Mandi,Delhi,Delhi,42.43,10070,C
2022-01-01,Soybean,Vashi Market,Maharashtra,Mumbai,43.78,2955,A
2022-01-01,Soybean,Yeshwanthpur,Karnataka,Bangalore,44.32,3497,A
2022-01-01,Soybean,Ludhiana Mandi,Punjab,Ludhiana,39.89,7698,A
2022-01-01,Soybean,Lucknow Mandi,Uttar Pradesh,Lucknow,41.11,10038,C
2022-01-02,Tomato,Azadpur Mandi,Delhi,Delhi,24.99,9745,B
2022-01-02,Tomato,Vashi Market,Maharashtra,Mumbai,24.46,2937,C
2022-01-02,Tomato,Yeshwanthpur,Karnataka,Bangalore,26.57,3222,B
2022-01-02,Tomato,Ludhiana Mandi,Punjab,Ludhiana,26.70,9489,B
2022-01-02,Tomato,Lucknow Mandi,Uttar Pradesh,Lucknow,23.99,6005,A
2022-01-02,Onion,Azadpur Mandi,Delhi,Delhi,29.76,10780,B
2022-01-02,Onion,Vashi Market,Maharashtra,Mumbai,34.36,6185,A
2022-01-02,Onion,Yeshwanthpur,Karnataka,Bangalore,33.91,4369,A
2022-01-02,Onion,Ludhiana Mandi,Punjab,Ludhiana,31.52,10170,C
2022-01-02,Onion,Lucknow Mandi,Uttar Pradesh,Lucknow,29.36,8881,C
