date,state,temperature_c,rainfall_mm,humidity_percent,wind_speed_kmh
2022-01-01,Delhi,28.7,0.8,81,7.1
2022-01-01,Maharashtra,28.1,1.9,66,11.8
2022-01-01,Karnataka,26.3,4.2,83,16.3
2022-01-01,Punjab,27.1,0.9,79,16.0
2022-01-01,Uttar Pradesh,28.1,2.8,85,11.6
2022-01-02,Delhi,26.2,0.1,73,5.7
2022-01-02,Maharashtra,28.0,0.2,80,8.2
2022-01-02,Karnataka,28.6,2.5,81,17.1
2022-01-02,Punjab,26.7,4.3,82,14.1
2022-01-02,Uttar Pradesh,28.8,1.9,77,9.2
2022-01-03,Delhi,28.0,2.7,89,13.8
2022-01-03,Maharashtra,28.0,1.9,76,12.3
2022-01-03,Karnataka,29.0,0.3,67,16.4
2022-01-03,Punjab,29.6,3.4,84,6.5
2022-01-03,Uttar Pradesh,27.2,4.8,82,5.5
2022-01-04,Delhi,27.8,4.5,85,19.6
2022-01-04,Maharashtra,30.4,0.2,89,6.2
2022-01-04,Karnataka,29.0,3.4,71,17.3
2022-01-04,Punjab,26.4,2.0,69,13.6
2022-01-04,Uttar Pradesh,30.5,1.8,88,13.0
2022-01-05,Delhi,28.9,2.8,60,13.6
2022-01-05,Maharashtra,26.7,1.6,62,15.9
2022-01-05,Karnataka,27.7,0.2,74,10.9
2022-01-05,Punjab,26.2,4.3,84,8.9
2022-01-05,Uttar Pradesh,26.5,2.6,63,14.3
2022-01-06,Delhi,30.6,2.0,79,8.0
2022-01-06,Maharashtra,27.4,4.4,89,18.7
2022-01-06,Karnataka,27.2,4.9,82,17.5
2022-01-06,Punjab,28.5,3.4,72,13.7
2022-01-06,Uttar Pradesh,28.1,0.3,70,15.8
2022-01-07,Delhi,28.6,3.7,81,13.7
2022-01-07,Maharashtra,28.3,3.9,76,8.4
2022-01-07,Karnataka,27.1,1.4,86,15.5
2022-01-07,Punjab,27.3,3.3,74,15.9
2022-01-07,Uttar Pradesh,26.9,0.5,73,9.8
2022-01-08,Delhi,30.6,2.8,86,11.0
2022-01-08,Maharashtra,27.4,3.8,65,6.4
2022-01-08,Karnataka,28.1,4.8,87,5.7
2022-01-08,Punjab,30.0,1.5,63,11.7
2022-01-08,Uttar Pradesh,27.1,4.9,61,12.0
2022-01-09,Delhi,28.4,1.4,84,8.0
2022-01-09,Maharashtra,31.0,2.6,75,11.8
2022-01-09,Karnataka,28.8,1.8,83,14.0
2022-01-09,Punjab,30.3,3.1,62,18.0
2022-01-09,Uttar Pradesh,28.9,4.8,63,10.7
2022-01-10,Delhi,30.8,4.1,80,7.8
2022-01-10,Maharashtra,29.9,1.4,66,12.1
2022-01-10,Karnataka,30.5,0.8,73,12.3
2022-01-10,Punjab,26.9,2.2,89,17.5
2022-01-10,Uttar Pradesh,30.2,0.7,65,12.0
2022-01-11,Delhi,30.2,2.4,85,5.2
2022-01-11,Maharashtra,29.0,2.6,80,7.1
2022-01-11,Karnataka,31.6,3.7,68,18.2
2022-01-11,Punjab,31.6,1.8,72,16.6
2022-01-11,Uttar Pradesh,31.4,0.8,73,18.2
2022-01-12,Delhi,30.7,2.4,68,15.0
2022-01-12,Maharashtra,31.4,1.6,83,10.4
2022-01-12,Karnataka,31.1,2.4,88,13.4
2022-01-12,Punjab,30.8,3.3,77,15.2
2022-01-12,Uttar Pradesh,28.2,3.3,78,10.9
2022-01-13,Delhi,28.7,4.6,79,10.4
2022-01-13,Maharashtra,30.8,1.6,82,15.5
2022-01-13,Karnataka,29.4,1.5,81,7.4
2022-01-13,Punjab,31.6,2.2,81,6.7
2022-01-13,Uttar Pradesh,30.8,1.8,90,13.4
2022-01-14,Delhi,31.6,1.5,85,10.7
2022-01-14,Maharashtra,32.3,1.0,87,19.1
2022-01-14,Karnataka,29.4,0.7,66,19.9
2022-01-14,Punjab,30.9,3.0,82,18.3
2022-01-14,Uttar Pradesh,30.7,2.3,68,14.4
2022-01-15,Delhi,28.1,3.3,83,11.0
2022-01-15,Maharashtra,27.8,4.3,62,9.2
2022-01-15,Karnataka,30.7,2.8,62,18.4
2022-01-15,Punjab,29.8,4.6,82,10.9
2022-01-15,Uttar Pradesh,31.5,2.6,80,9.7
2022-01-16,Delhi,27.8,3.6,73,11.4
2022-01-16,Maharashtra,28.8,4.7,90,14.4
2022-01-16,Karnataka,30.3,2.9,62,18.9
2022-01-16,Punjab,31.5,3.5,80,9.4
2022-01-16,Uttar Pradesh,28.2,4.3,86,11.9
2022-01-17,Delhi,28.8,1.8,69,8.0
2022-01-17,Maharashtra,30.6,0.0,60,15.9
2022-01-17,Karnataka,29.3,2.7,80,17.6
2022-01-17,Punjab,31.8,0.4,69,16.7
2022-01-17,Uttar Pradesh,29.3,2.1,84,19.8
2022-01-18,Delhi,32.7,4.0,75,9.6
2022-01-18,Maharashtra,32.0,1.7,65,7.1
2022-01-18,Karnataka,30.6,2.4,80,7.2
2022-01-18,Punjab,29.5,4.1,67,9.3
2022-01-18,Uttar Pradesh,31.4,1.6,70,18.8
2022-01-19,Delhi,32.8,0.3,61,18.4
2022-01-19,Maharashtra,28.9,3.7,73,17.2
2022-01-19,Karnataka,28.7,4.9,87,15.8
2022-01-19,Punjab,31.0,4.7,65,12.4
2022-01-19,Uttar Pradesh,29.1,1.9,89,5.4
2022-01-20,Delhi,30.5,4.2,77,8.0
2022-01-20,Maharashtra,29.9,0.3,71,15.7
2022-01-20,Karnataka,31.2,2.4,71,7.4
2022-01-20,Punjab,28.8,3.5,61,12.2
2022-01-20,Uttar Pradesh,33.3,3.6,84,11.5
2022-01-21,Delhi,31.6,4.8,89,10.3
2022-01-21,Maharashtra,31.6,0.7,67,10.0
2022-01-21,Karnataka,31.9,3.8,68,8.4
2022-01-21,Punjab,29.0,1.4,69,8.4
2022-01-21,Uttar Pradesh,30.3,0.9,80,8.5
2022-01-22,Delhi,30.7,0.2,64,9.5
2022-01-22,Maharashtra,30.0,2.2,90,5.3
2022-01-22,Karnataka,30.2,2.7,67,14.3
2022-01-22,Punjab,33.5,2.3,82,9.7
2022-01-22,Uttar Pradesh,33.1,0.7,61,5.9
2022-01-23,Delhi,32.2,3.7,67,18.4
2022-01-23,Maharashtra,31.1,4.7,84,12.7
2022-01-23,Karnataka,32.0,1.3,68,5.5
2022-01-23,Punjab,32.9,0.1,73,11.2
2022-01-23,Uttar Pradesh,31.3,0.5,76,17.4
2022-01-24,Delhi,34.0,0.1,61,12.8
2022-01-24,Maharashtra,29.8,3.5,78,19.9
2022-01-24,Karnataka,32.8,3.4,75,6.5
2022-01-24,Punjab,31.4,1.3,70,9.0
2022-01-24,Uttar Pradesh,30.2,1.9,86,8.2
2022-01-25,Delhi,32.7,0.2,65,10.6
2022-01-25,Maharashtra,33.1,3.0,67,15.3
2022-01-25,Karnataka,31.8,4.3,78,12.7
2022-01-25,Punjab,30.7,0.2,76,7.9
2022-01-25,Uttar Pradesh,33.2,2.8,76,10.4
2022-01-26,Delhi,31.5,0.3,65,7.3
2022-01-26,Maharashtra,31.7,0.7,63,6.9
2022-01-26,Karnataka,32.3,4.9,82,8.5
